student_id,course_name,name,scaled
311,2020年度数学[中2]C組,2029_中学_2年_数学_Benesse模試1回,0.86
313,2020年度数学[中2]C組,2028_中学_2年_数学_Benesse模試1回,0.72
356,2020年度数学[中2]C組,2027_中学_2年_数学_Benesse模試1回,0.86
391,2020年度数学[中2]C組,2026_中学_2年_数学_Benesse模試1回,0.88
394,2020年度数学[中2]C組,2025_中学_2年_数学_Benesse模試1回,0.7
362,2020年度数学[中2]C組,2024_中学_2年_数学_Benesse模試1回,0.78
401,2020年度数学[中2]C組,2023_中学_2年_数学_Benesse模試1回,0.93
402,2020年度数学[中2]C組,2022_中学_2年_数学_Benesse模試1回,0.82
323,2020年度数学[中2]C組,2021_中学_2年_数学_Benesse模試1回,0.55
364,2020年度数学[中2]C組,2020_中学_2年_数学_Benesse模試1回,0.41
484,2020年度数学[中3]A組,2020_中学_3年_数学_Benesse模試1回,0.81
444,2020年度数学[中3]A組,2020_中学_3年_数学_Benesse模試1回,0.8
404,2020年度数学[中3]A組,2020_中学_3年_数学_Benesse模試1回,0.49
447,2020年度数学[中3]A組,2020_中学_3年_数学_Benesse模試1回,0.86
451,2020年度数学[中3]A組,2020_中学_3年_数学_Benesse模試1回,0.87
410,2020年度数学[中3]A組,2020_中学_3年_数学_Benesse模試1回,0.56
412,2020年度数学[中3]A組,2020_中学_3年_数学_Benesse模試1回,0.78
413,2020年度数学[中3]A組,2020_中学_3年_数学_Benesse模試1回,0.6
456,2020年度数学[中3]A組,2020_中学_3年_数学_Benesse模試1回,0.4
414,2020年度数学[中3]A組,2020_中学_3年_数学_Benesse模試1回,0.69
495,2020年度数学[中3]A組,2020_中学_3年_数学_Benesse模試1回,0.73
459,2020年度数学[中3]A組,2020_中学_3年_数学_Benesse模試1回,1
461,2020年度数学[中3]A組,2020_中学_3年_数学_Benesse模試1回,0.65
499,2020年度数学[中3]A組,2020_中学_3年_数学_Benesse模試1回,0.78
420,2020年度数学[中3]A組,2020_中学_3年_数学_Benesse模試1回,0.75
462,2020年度数学[中3]A組,2020_中学_3年_数学_Benesse模試1回,0.55
500,2020年度数学[中3]A組,2020_中学_3年_数学_Benesse模試1回,0.47
463,2020年度数学[中3]A組,2020_中学_3年_数学_Benesse模試1回,0.47
501,2020年度数学[中3]A組,2020_中学_3年_数学_Benesse模試1回,0.66
505,2020年度数学[中3]A組,2020_中学_3年_数学_Benesse模試1回,0.68
506,2020年度数学[中3]A組,2020_中学_3年_数学_Benesse模試1回,0.7
469,2020年度数学[中3]A組,2020_中学_3年_数学_Benesse模試1回,0.54
424,2020年度数学[中3]A組,2020_中学_3年_数学_Benesse模試1回,0.44
425,2020年度数学[中3]A組,2020_中学_3年_数学_Benesse模試1回,0.56
427,2020年度数学[中3]A組,2020_中学_3年_数学_Benesse模試1回,0.69
508,2020年度数学[中3]A組,2020_中学_3年_数学_Benesse模試1回,0.78
470,2020年度数学[中3]A組,2020_中学_3年_数学_Benesse模試1回,0.72
510,2020年度数学[中3]A組,2020_中学_3年_数学_Benesse模試1回,0.84
472,2020年度数学[中3]A組,2020_中学_3年_数学_Benesse模試1回,0.6
428,2020年度数学[中3]A組,2020_中学_3年_数学_Benesse模試1回,0.76
512,2020年度数学[中3]A組,2020_中学_3年_数学_Benesse模試1回,0.66
432,2020年度数学[中3]A組,2020_中学_3年_数学_Benesse模試1回,0.85
479,2020年度数学[中3]A組,2020_中学_3年_数学_Benesse模試1回,0.52
516,2020年度数学[中3]A組,2020_中学_3年_数学_Benesse模試1回,0.6
438,2020年度数学[中3]A組,2020_中学_3年_数学_Benesse模試1回,0.49
439,2020年度数学[中3]A組,2020_中学_3年_数学_Benesse模試1回,0.77
483,2020年度数学[中3]A組,2020_中学_3年_数学_Benesse模試1回,0.71
521,2020年度数学[中3]A組,2020_中学_3年_数学_Benesse模試1回,0.42
442,2020年度数学[中3]A組,2020_中学_3年_数学_Benesse模試1回,0.71
443,2020年度数学[中3]A組,2020_中学_3年_数学_Benesse模試1回,0.65
446,2020年度数学[中3]B組,2020_中学_3年_数学_Benesse模試1回,0.69
405,2020年度数学[中3]B組,2020_中学_3年_数学_Benesse模試1回,0.74
449,2020年度数学[中3]B組,2020_中学_3年_数学_Benesse模試1回,0.55
450,2020年度数学[中3]B組,2020_中学_3年_数学_Benesse模試1回,0.62
488,2020年度数学[中3]B組,2020_中学_3年_数学_Benesse模試1回,0.7
409,2020年度数学[中3]B組,2020_中学_3年_数学_Benesse模試1回,0.65
411,2020年度数学[中3]B組,2020_中学_3年_数学_Benesse模試1回,0.56
452,2020年度数学[中3]B組,2020_中学_3年_数学_Benesse模試1回,0.63
453,2020年度数学[中3]B組,2020_中学_3年_数学_Benesse模試1回,0.84
490,2020年度数学[中3]B組,2020_中学_3年_数学_Benesse模試1回,0.56
492,2020年度数学[中3]B組,2020_中学_3年_数学_Benesse模試1回,0.83
416,2020年度数学[中3]B組,2020_中学_3年_数学_Benesse模試1回,0.75
417,2020年度数学[中3]B組,2020_中学_3年_数学_Benesse模試1回,0.68
458,2020年度数学[中3]B組,2020_中学_3年_数学_Benesse模試1回,0.72
496,2020年度数学[中3]B組,2020_中学_3年_数学_Benesse模試1回,0.8
497,2020年度数学[中3]B組,2020_中学_3年_数学_Benesse模試1回,0.78
418,2020年度数学[中3]B組,2020_中学_3年_数学_Benesse模試1回,0.51
419,2020年度数学[中3]B組,2020_中学_3年_数学_Benesse模試1回,0.83
464,2020年度数学[中3]B組,2020_中学_3年_数学_Benesse模試1回,0.58
502,2020年度数学[中3]B組,2020_中学_3年_数学_Benesse模試1回,0.8
421,2020年度数学[中3]B組,2020_中学_3年_数学_Benesse模試1回,0.74
503,2020年度数学[中3]B組,2020_中学_3年_数学_Benesse模試1回,0.85
504,2020年度数学[中3]B組,2020_中学_3年_数学_Benesse模試1回,0.81
467,2020年度数学[中3]B組,2020_中学_3年_数学_Benesse模試1回,0.76
468,2020年度数学[中3]B組,2020_中学_3年_数学_Benesse模試1回,0.78
423,2020年度数学[中3]B組,2020_中学_3年_数学_Benesse模試1回,0.67
507,2020年度数学[中3]B組,2020_中学_3年_数学_Benesse模試1回,0.65
471,2020年度数学[中3]B組,2020_中学_3年_数学_Benesse模試1回,0.78
473,2020年度数学[中3]B組,2020_中学_3年_数学_Benesse模試1回,0.36
